2021년도 광역지자체 교통사고 현황,,,,,,,,,
,,,,,,,,,
시도,교통여건,,,교통사고 현황(경찰DB),,,교통사고 현황(통합DB),,
,자동차등록대수(대),인구수(명),도로연장(명),사고건수(건),사망자수(명),부상자수(명),사고건수(건),사망자수(명),부상자수(명)
계,"28,735,635","51,744,876","113,405","203,130","2,916","291,608","1,258,704","2,916","2,055,003"
서울,"7,261,519","9,501,528","8,359","33,913",243,"45,223","216,585",243,"324,049"
부산,"3,220,573","3,327,350","3,416","11,339",113,"15,457","72,157",113,"113,362"
경기,"13,562,079","13,611,628","14,813","53,332",537,"78,225","327,203",537,"529,614"
강원,"1,944,039","1,520,457","9,857","6,605",145,"10,221","35,294",145,"64,557"
충북,"2,130,706","1,632,358","6,915","7,985",160,"12,135","35,340",160,"62,545"
충남,"2,925,262","2,176,548","7,588","8,423",265,"12,197","53,558",265,"95,325"
전북,"2,373,426","1,794,192","8,568","6,112",193,"8,906","44,453",193,"77,746"
전남,"2,938,346","1,782,951","10,776","8,685",255,"13,522","39,831",255,"70,172"
경북,"3,861,850","2,640,965","13,645","12,100",334,"17,690","61,979",334,"103,048"
경남,"4,302,268","3,317,568","12,847","11,059",257,"15,414","70,992",257,"116,983"
제주,"1,433,210","673,189","3,217","4,373",52,"6,725","18,014",52,"31,023"
대구,"2,727,478","2,387,631","3,015","12,133",84,"17,230","67,927",84,"107,188"
인천,"3,562,224","2,940,927","3,317","7,912",104,"10,730","64,109",104,"104,001"
광주,"1,501,677","1,468,912","1,879","7,543",49,"11,489","44,903",49,"76,770"
대전,"1,478,182","1,478,831","2,226","7,027",59,"10,175","42,064",59,"69,596"
울산,"1,320,488","1,123,676","2,544","3,801",50,"5,238","27,016",50,"42,427"
세종,"406,544","366,165",423,788,16,"1,031","6,335",16,"10,511"
