2015년도 광역지자체 교통사고 현황,,,,,,,,,
,,,,,,,,,
시도,교통여건,,,교통사고 현황(경찰DB),,,교통사고 현황(통합DB),,
,자동차등록대수(대),인구수(명),도로연장(명),사고건수(건),사망자수(명),부상자수(명),사고건수(건),사망자수(명),부상자수(명)
계,"23,582,046","50,617,045","107,527","232,035","4,621","350,400","1,141,925","4,621","1,809,461"
서울,"3,550,871","9,860,372","8,240","41,665",376,"58,656","198,895",376,"289,524"
부산,"1,402,836","3,400,069","3,306","12,757",178,"17,884","66,225",178,"99,502"
경기,"5,340,495","12,397,902","12,942","52,954",880,"81,763","254,154",880,"409,904"
강원,"780,398","1,506,142","9,800","8,912",239,"14,987","33,226",239,"59,202"
충북,"844,521","1,560,784","6,858","9,335",238,"14,927","32,299",238,"54,836"
충남,"1,133,092","2,089,470","7,096","9,421",382,"14,515","47,139",382,"83,209"
전북,"969,892","1,798,234","8,268","8,873",308,"14,089","39,619",308,"66,256"
전남,"1,046,384","1,756,831","10,594","10,420",410,"17,020","34,281",410,"58,287"
경북,"1,537,961","2,641,879","12,877","15,752",507,"23,880","58,646",507,"95,005"
경남,"1,767,262","3,285,260","12,363","13,677",406,"20,141","64,549",406,"101,733"
제주,"470,812","587,217","3,207","4,645",93,"7,142","13,072",93,"20,896"
대구,"1,251,334","2,454,733","2,772","14,228",161,"20,433","61,640",161,"92,545"
인천,"1,440,294","2,886,172","2,828","8,727",136,"13,124","58,249",136,"91,454"
광주,"661,919","1,516,527","1,832","7,864",97,"12,596","39,661",97,"65,830"
대전,"677,113","1,535,639","2,077","6,901",97,"10,413","35,540",97,"56,796"
울산,"601,948","1,142,469","2,066","5,368",94,"7,943","26,728",94,"40,405"
세종,"104,914","197,345",401,536,19,887,"2,070",19,"3,474"
