2013년도 광역지자체 교통사고 현황,,,,,,,,,
,,,,,,,,,
시도,교통여건,,,교통사고 현황(경찰DB),,,교통사고 현황(통합DB),,
,자동차등록대수(대),인구수(명),도로연장(명),사고건수(건),사망자수(명),부상자수(명),사고건수(건),사망자수(명),부상자수(명)
계,"23,150,619","50,219,669","106,414","215,354","5,092","328,711","1,119,280","5,092","1,782,594"
서울,"3,465,860","9,991,064","8,223","39,439",378,"56,761","191,140",378,"279,682"
부산,"1,336,097","3,430,473","3,101","12,606",213,"17,542","62,206",213,"92,461"
경기,"5,039,106","12,080,585","12,824","43,900",946,"68,430","239,143",946,"390,343"
강원,"807,177","1,504,986","10,147","8,529",240,"14,505","32,637",240,"58,723"
충북,"864,165","1,561,471","6,578","8,501",286,"14,222","34,772",286,"59,180"
충남,"1,204,531","2,147,980","7,004","7,899",418,"12,736","45,608",418,"81,749"
전북,"1,030,373","1,803,230","8,040","9,448",360,"15,017","39,692",360,"66,620"
전남,"1,139,062","1,762,178","10,532","10,077",460,"16,808","32,515",460,"55,495"
경북,"1,680,035","2,642,329","12,290","15,269",534,"23,319","54,758",534,"88,004"
경남,"1,848,322","3,263,050","13,053","13,749",476,"20,274","60,572",476,"94,723"
제주,"387,376","560,240","3,196","4,302",107,"6,415","11,813",107,"18,596"
대구,"1,195,601","2,471,357","2,627","13,680",165,"19,713","57,013",165,"84,682"
인천,"1,236,693","2,816,025","2,743","8,990",157,"13,594","57,969",157,"91,940"
광주,"623,639","1,518,006","1,806","8,036",111,"13,089","36,466",111,"60,506"
대전,"652,833","1,546,251","2,077","5,462",92,"8,234","34,940",92,"56,810"
울산,"570,284","1,120,444","1,760","5,022",128,"7,305","25,451",128,"38,088"
세종,"69,465",,412,445,21,747,851,21,"1,428"
