네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
여가/생활편의
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 20대

"날짜","여가/생활편의"
"2021-07-09",53
"2021-07-10",54
"2021-07-11",60
"2021-07-12",60
"2021-07-13",60
"2021-07-14",59
"2021-07-15",57
"2021-07-16",53
"2021-07-17",55
"2021-07-18",61
"2021-07-19",62
"2021-07-20",58
"2021-07-21",56
"2021-07-22",56
"2021-07-23",52
"2021-07-24",53
"2021-07-25",57
"2021-07-26",59
"2021-07-27",58
"2021-07-28",57
"2021-07-29",56
"2021-07-30",53
"2021-07-31",56
"2021-08-01",67
"2021-08-02",65
"2021-08-03",63
"2021-08-04",59
"2021-08-05",59
"2021-08-06",53
"2021-08-07",55
"2021-08-08",59
"2021-08-09",61
"2021-08-10",58
"2021-08-11",56
"2021-08-12",54
"2021-08-13",53
"2021-08-14",56
"2021-08-15",58
"2021-08-16",57
"2021-08-17",53
"2021-08-18",52
"2021-08-19",51
"2021-08-20",48
"2021-08-21",48
"2021-08-22",51
"2021-08-23",49
"2021-08-24",47
"2021-08-25",48
"2021-08-26",48
"2021-08-27",46
"2021-08-28",47
"2021-08-29",49
"2021-08-30",50
"2021-08-31",49
"2021-09-01",52
"2021-09-02",50
"2021-09-03",50
"2021-09-04",50
"2021-09-05",51
"2021-09-06",49
"2021-09-07",47
"2021-09-08",46
"2021-09-09",46
"2021-09-10",43
"2021-09-11",45
"2021-09-12",47
"2021-09-13",46
"2021-09-14",45
"2021-09-15",43
"2021-09-16",43
"2021-09-17",42
"2021-09-18",44
"2021-09-19",44
"2021-09-20",42
"2021-09-21",44
"2021-09-22",49
"2021-09-23",53
"2021-09-24",50
"2021-09-25",48
"2021-09-26",49
"2021-09-27",54
"2021-09-28",50
"2021-09-29",49
"2021-09-30",51
"2021-10-01",56
"2021-10-02",56
"2021-10-03",59
"2021-10-04",60
"2021-10-05",59
"2021-10-06",55
"2021-10-07",55
"2021-10-08",53
"2021-10-09",56
"2021-10-10",59
"2021-10-11",57
"2021-10-12",54
"2021-10-13",52
"2021-10-14",51
"2021-10-15",50
"2021-10-16",48
"2021-10-17",51
"2021-10-18",51
"2021-10-19",49
"2021-10-20",49
"2021-10-21",52
"2021-10-22",52
"2021-10-23",52
"2021-10-24",58
"2021-10-25",62
"2021-10-26",59
"2021-10-27",59
"2021-10-28",60
"2021-10-29",61
"2021-10-30",65
"2021-10-31",74
"2021-11-01",85
"2021-11-02",75
"2021-11-03",72
"2021-11-04",70
"2021-11-05",67
"2021-11-06",65
"2021-11-07",72
"2021-11-08",75
"2021-11-09",74
"2021-11-10",69
"2021-11-11",66
"2021-11-12",64
"2021-11-13",63
"2021-11-14",71
"2021-11-15",78
"2021-11-16",71
"2021-11-17",68
"2021-11-18",68
"2021-11-19",68
"2021-11-20",67
"2021-11-21",77
"2021-11-22",81
"2021-11-23",76
"2021-11-24",74
"2021-11-25",72
"2021-11-26",68
"2021-11-27",70
"2021-11-28",80
"2021-11-29",85
"2021-11-30",84
"2021-12-01",90
"2021-12-02",83
"2021-12-03",79
"2021-12-04",76
"2021-12-05",87
"2021-12-06",92
"2021-12-07",84
"2021-12-08",77
"2021-12-09",75
"2021-12-10",71
"2021-12-11",71
"2021-12-12",82
"2021-12-13",85
"2021-12-14",78
"2021-12-15",77
"2021-12-16",80
"2021-12-17",72
"2021-12-18",73
"2021-12-19",86
"2021-12-20",91
"2021-12-21",86
