네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
여가/생활편의
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 20대

"날짜","여가/생활편의"
"2021-07-09",55
"2021-07-10",60
"2021-07-11",61
"2021-07-12",58
"2021-07-13",58
"2021-07-14",59
"2021-07-15",58
"2021-07-16",55
"2021-07-17",58
"2021-07-18",61
"2021-07-19",59
"2021-07-20",57
"2021-07-21",57
"2021-07-22",55
"2021-07-23",55
"2021-07-24",56
"2021-07-25",55
"2021-07-26",58
"2021-07-27",57
"2021-07-28",58
"2021-07-29",57
"2021-07-30",55
"2021-07-31",59
"2021-08-01",73
"2021-08-02",66
"2021-08-03",62
"2021-08-04",61
"2021-08-05",59
"2021-08-06",55
"2021-08-07",60
"2021-08-08",61
"2021-08-09",61
"2021-08-10",61
"2021-08-11",58
"2021-08-12",56
"2021-08-13",55
"2021-08-14",60
"2021-08-15",59
"2021-08-16",57
"2021-08-17",52
"2021-08-18",52
"2021-08-19",49
"2021-08-20",49
"2021-08-21",53
"2021-08-22",50
"2021-08-23",48
"2021-08-24",45
"2021-08-25",46
"2021-08-26",48
"2021-08-27",48
"2021-08-28",52
"2021-08-29",50
"2021-08-30",49
"2021-08-31",51
"2021-09-01",60
"2021-09-02",50
"2021-09-03",51
"2021-09-04",53
"2021-09-05",52
"2021-09-06",48
"2021-09-07",48
"2021-09-08",46
"2021-09-09",48
"2021-09-10",48
"2021-09-11",51
"2021-09-12",48
"2021-09-13",47
"2021-09-14",46
"2021-09-15",47
"2021-09-16",49
"2021-09-17",47
"2021-09-18",49
"2021-09-19",47
"2021-09-20",46
"2021-09-21",46
"2021-09-22",52
"2021-09-23",52
"2021-09-24",52
"2021-09-25",50
"2021-09-26",50
"2021-09-27",51
"2021-09-28",49
"2021-09-29",48
"2021-09-30",52
"2021-10-01",58
"2021-10-02",57
"2021-10-03",59
"2021-10-04",56
"2021-10-05",54
"2021-10-06",52
"2021-10-07",51
"2021-10-08",52
"2021-10-09",56
"2021-10-10",57
"2021-10-11",54
"2021-10-12",50
"2021-10-13",50
"2021-10-14",49
"2021-10-15",48
"2021-10-16",48
"2021-10-17",48
"2021-10-18",49
"2021-10-19",47
"2021-10-20",48
"2021-10-21",50
"2021-10-22",50
"2021-10-23",52
"2021-10-24",53
"2021-10-25",57
"2021-10-26",54
"2021-10-27",55
"2021-10-28",56
