네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 40대

"날짜","도서"
"2022-05-15",45
"2022-05-16",51
"2022-05-17",49
"2022-05-18",48
"2022-05-19",44
"2022-05-20",39
"2022-05-21",38
"2022-05-22",43
"2022-05-23",49
"2022-05-24",47
"2022-05-25",47
"2022-05-26",43
"2022-05-27",37
"2022-05-28",38
"2022-05-29",44
"2022-05-30",48
"2022-05-31",43
"2022-06-01",46
"2022-06-02",44
"2022-06-03",39
"2022-06-04",36
"2022-06-05",39
"2022-06-06",48
"2022-06-07",52
"2022-06-08",47
"2022-06-09",44
"2022-06-10",38
"2022-06-11",35
"2022-06-12",43
"2022-06-13",45
"2022-06-14",45
"2022-06-15",44
"2022-06-16",40
"2022-06-17",38
"2022-06-18",36
"2022-06-19",45
"2022-06-20",49
"2022-06-21",45
"2022-06-22",41
"2022-06-23",41
"2022-06-24",37
"2022-06-25",35
"2022-06-26",42
"2022-06-27",47
"2022-06-28",47
"2022-06-29",43
"2022-06-30",41
"2022-07-01",40
"2022-07-02",40
"2022-07-03",46
"2022-07-04",51
"2022-07-05",48
"2022-07-06",50
"2022-07-07",46
"2022-07-08",21
"2022-07-09",4
