네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 경제/경영
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 10대

"날짜","경제/경영"
"2021-07-09",29
"2021-07-10",27
"2021-07-11",47
"2021-07-12",59
"2021-07-13",45
"2021-07-14",63
"2021-07-15",92
"2021-07-16",24
"2021-07-17",45
"2021-07-18",29
"2021-07-19",29
"2021-07-20",41
"2021-07-21",35
"2021-07-22",12
"2021-07-23",12
"2021-07-24",27
"2021-07-25",12
"2021-07-26",16
"2021-07-27",12
"2021-07-28",6
"2021-07-29",10
"2021-07-30",24
"2021-07-31",18
"2021-08-01",16
"2021-08-02",20
"2021-08-03",12
"2021-08-04",22
"2021-08-05",14
"2021-08-06",25
"2021-08-07",31
"2021-08-08",22
"2021-08-09",14
"2021-08-10",27
"2021-08-11",18
"2021-08-12",22
"2021-08-13",43
"2021-08-14",25
"2021-08-15",49
"2021-08-16",43
"2021-08-17",82
"2021-08-18",53
"2021-08-19",47
"2021-08-20",51
"2021-08-21",12
"2021-08-22",25
"2021-08-23",71
"2021-08-24",43
"2021-08-25",61
"2021-08-26",35
"2021-08-27",78
"2021-08-28",27
"2021-08-29",51
"2021-08-30",35
"2021-08-31",49
"2021-09-01",61
"2021-09-02",65
"2021-09-03",75
"2021-09-04",51
"2021-09-05",65
"2021-09-06",67
"2021-09-07",71
"2021-09-08",63
"2021-09-09",16
"2021-09-10",45
"2021-09-11",35
"2021-09-12",27
"2021-09-13",22
"2021-09-14",29
"2021-09-15",22
"2021-09-16",33
"2021-09-17",24
"2021-09-18",25
"2021-09-19",22
"2021-09-20",4
"2021-09-21",6
"2021-09-22",6
"2021-09-23",16
"2021-09-24",25
"2021-09-25",8
"2021-09-26",16
"2021-09-27",29
"2021-09-28",20
"2021-09-29",14
"2021-09-30",10
"2021-10-01",18
"2021-10-02",22
"2021-10-03",33
"2021-10-04",8
"2021-10-05",51
"2021-10-06",29
