네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 경제/경영
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 30대

"날짜","경제/경영"
"2022-05-13",19
"2022-05-14",13
"2022-05-15",14
"2022-05-16",24
"2022-05-17",27
"2022-05-18",22
"2022-05-19",23
"2022-05-20",17
"2022-05-21",10
"2022-05-22",18
"2022-05-23",20
"2022-05-24",19
"2022-05-25",25
"2022-05-26",21
"2022-05-27",18
"2022-05-28",13
"2022-05-29",18
"2022-05-30",17
"2022-05-31",15
"2022-06-01",21
"2022-06-02",20
"2022-06-03",23
"2022-06-04",20
"2022-06-05",19
"2022-06-06",20
"2022-06-07",30
"2022-06-08",23
"2022-06-09",23
"2022-06-10",25
"2022-06-11",20
"2022-06-12",17
"2022-06-13",26
"2022-06-14",23
"2022-06-15",27
"2022-06-16",20
"2022-06-17",25
"2022-06-18",18
"2022-06-19",15
"2022-06-20",20
"2022-06-21",23
"2022-06-22",18
"2022-06-23",17
"2022-06-24",16
"2022-06-25",13
"2022-06-26",18
"2022-06-27",17
"2022-06-28",29
"2022-06-29",24
"2022-06-30",17
"2022-07-01",13
"2022-07-02",14
"2022-07-03",10
"2022-07-04",15
"2022-07-05",22
"2022-07-06",19
"2022-07-07",14
"2022-07-08",6
"2022-07-09",0
