네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 경제/경영
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 20대

"날짜","경제/경영"
"2021-07-09",6
"2021-07-10",3
"2021-07-11",5
"2021-07-12",6
"2021-07-13",6
"2021-07-14",6
"2021-07-15",7
"2021-07-16",4
"2021-07-17",6
"2021-07-18",6
"2021-07-19",7
"2021-07-20",7
"2021-07-21",5
"2021-07-22",7
"2021-07-23",5
"2021-07-24",5
"2021-07-25",7
"2021-07-26",7
"2021-07-27",8
"2021-07-28",5
"2021-07-29",6
"2021-07-30",5
"2021-07-31",4
"2021-08-01",6
"2021-08-02",3
"2021-08-03",7
"2021-08-04",7
"2021-08-05",6
"2021-08-06",6
"2021-08-07",4
"2021-08-08",5
"2021-08-09",5
"2021-08-10",4
"2021-08-11",6
"2021-08-12",7
"2021-08-13",6
"2021-08-14",4
"2021-08-15",6
"2021-08-16",6
"2021-08-17",7
"2021-08-18",6
"2021-08-19",8
"2021-08-20",8
"2021-08-21",5
"2021-08-22",6
"2021-08-23",9
"2021-08-24",8
"2021-08-25",10
"2021-08-26",11
"2021-08-27",9
"2021-08-28",8
"2021-08-29",14
"2021-08-30",27
"2021-08-31",29
"2021-09-01",41
"2021-09-02",58
"2021-09-03",40
"2021-09-04",23
"2021-09-05",22
"2021-09-06",39
"2021-09-07",35
"2021-09-08",27
"2021-09-09",23
"2021-09-10",19
"2021-09-11",10
"2021-09-12",11
"2021-09-13",17
"2021-09-14",14
"2021-09-15",12
"2021-09-16",13
"2021-09-17",7
"2021-09-18",7
"2021-09-19",8
"2021-09-20",9
"2021-09-21",8
"2021-09-22",9
"2021-09-23",16
"2021-09-24",12
"2021-09-25",12
"2021-09-26",12
"2021-09-27",15
"2021-09-28",13
"2021-09-29",12
"2021-09-30",11
"2021-10-01",6
"2021-10-02",8
"2021-10-03",11
"2021-10-04",15
"2021-10-05",14
"2021-10-06",14
"2021-10-07",15
"2021-10-08",12
"2021-10-09",11
"2021-10-10",8
"2021-10-11",10
"2021-10-12",15
"2021-10-13",14
"2021-10-14",16
"2021-10-15",14
"2021-10-16",10
"2021-10-17",10
"2021-10-18",15
"2021-10-19",15
"2021-10-20",14
"2021-10-21",14
"2021-10-22",11
"2021-10-23",9
"2021-10-24",10
"2021-10-25",11
"2021-10-26",11
"2021-10-27",10
"2021-10-28",11
"2021-10-29",7
"2021-10-30",7
"2021-10-31",9
"2021-11-01",13
"2021-11-02",13
"2021-11-03",11
"2021-11-04",10
"2021-11-05",11
"2021-11-06",8
"2021-11-07",7
"2021-11-08",11
"2021-11-09",11
"2021-11-10",13
"2021-11-11",10
"2021-11-12",9
"2021-11-13",7
"2021-11-14",8
"2021-11-15",12
"2021-11-16",11
"2021-11-17",12
"2021-11-18",10
"2021-11-19",10
"2021-11-20",9
"2021-11-21",13
"2021-11-22",15
"2021-11-23",14
"2021-11-24",14
"2021-11-25",11
"2021-11-26",14
"2021-11-27",9
"2021-11-28",11
"2021-11-29",15
"2021-11-30",18
"2021-12-01",15
"2021-12-02",16
"2021-12-03",14
"2021-12-04",9
"2021-12-05",18
"2021-12-06",13
"2021-12-07",15
"2021-12-08",14
"2021-12-09",16
"2021-12-10",15
"2021-12-11",10
"2021-12-12",12
"2021-12-13",18
"2021-12-14",13
"2021-12-15",13
"2021-12-16",14
"2021-12-17",11
"2021-12-18",13
"2021-12-19",15
"2021-12-20",19
