네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
여가/생활편의
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 60대이상

"날짜","여가/생활편의"
"2022-05-13",71
"2022-05-14",76
"2022-05-15",77
"2022-05-16",80
"2022-05-17",79
"2022-05-18",76
"2022-05-19",76
"2022-05-20",70
"2022-05-21",71
"2022-05-22",79
"2022-05-23",77
"2022-05-24",74
"2022-05-25",73
"2022-05-26",75
"2022-05-27",73
"2022-05-28",74
"2022-05-29",78
"2022-05-30",85
"2022-05-31",80
"2022-06-01",75
"2022-06-02",81
"2022-06-03",94
"2022-06-04",100
"2022-06-05",91
"2022-06-06",81
"2022-06-07",82
"2022-06-08",79
"2022-06-09",75
"2022-06-10",73
"2022-06-11",76
"2022-06-12",81
"2022-06-13",82
"2022-06-14",77
"2022-06-15",74
"2022-06-16",73
"2022-06-17",71
"2022-06-18",71
"2022-06-19",75
"2022-06-20",81
"2022-06-21",74
"2022-06-22",72
"2022-06-23",70
"2022-06-24",66
"2022-06-25",68
"2022-06-26",72
"2022-06-27",75
"2022-06-28",72
"2022-06-29",74
"2022-06-30",71
"2022-07-01",75
"2022-07-02",73
"2022-07-03",77
"2022-07-04",81
"2022-07-05",76
"2022-07-06",78
"2022-07-07",73
"2022-07-08",69
"2022-07-09",71
